[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces pszczelarz...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces ul...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces krolowa...
[2025-01-21 18:19:52.867] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139862078367424
[2025-01-21 18:19:52.867] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139862615238336
[2025-01-21 18:19:52.867] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861851895488
[2025-01-21 18:19:52.867] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139861843502784
[2025-01-21 18:19:52.867] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139860929124032
[2025-01-21 18:19:52.868] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860945909440
[2025-01-21 18:19:52.868] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862883673792
[2025-01-21 18:19:52.868] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139862900459200
[2025-01-21 18:19:52.868] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139861583460032
[2025-01-21 18:19:52.868] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860937516736
[2025-01-21 18:19:52.869] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139863420544704
[2025-01-21 18:19:52.869] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139863454115520
[2025-01-21 18:19:52.869] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139860299998912
[2025-01-21 18:19:52.869] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139862388766400
[2025-01-21 18:19:52.870] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139859956061888
[2025-01-21 18:19:52.870] Stan: 48/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861315024576
[2025-01-21 18:19:52.870] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139861809931968
[2025-01-21 18:19:52.871] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860643935936
[2025-01-21 18:19:52.871] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862648809152
[2025-01-21 18:19:52.872] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860627150528
[2025-01-21 18:19:53.857] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139863589914304
[2025-01-21 18:19:53.858] Stan: 48/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139863581521600
[2025-01-21 18:19:53.858] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860610365120
[2025-01-21 18:19:53.858] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860618757824
